,title,link,img_src,caption
20,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-03%2F2afbc15f-24b2-4283-b8d6-d5fe70fe28cc%2F12.jpeg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,মেলা ঘিরে গ্রামজুড়ে বিরাজ করে উৎসবের আমেজ
21,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2F81e2e0ee-d5f5-4d49-a0ce-7a441b78b09d%2F13.jpg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,পর্যটকদের ফেলে যাওয়া প্লাস্টিক পণ্য।
22,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2Ff0103c55-22e0-49f3-9fc0-270427586ab4%2F12.JPG?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,কংলাক পাহাড় থেকে দেখা যায় সূর্যাস্ত
23,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2F697064d7-ab29-4d51-a0d0-af52a0157d60%2F15.jpg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,পছন্দের লেখকের স্বাক্ষরসহ বই কিনতে পাঠকের দীর্ঘ সারি
24,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2F083593e8-33d2-4fcd-ad6a-1851e3052c5e%2F11.jpg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,চিত্রাঙ্কন প্রতিযোগিতায় বিজয়ী শিল্পীদের পুরস্কার তুলে দেন অভিনয়শিল্পী দিলারা জামান এবং চিত্রশিল্পী ফারেহা জেবা ও মাসুক হেলাল
25,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2Fe562eb3f-dc1c-4a77-bd3a-3839bac7ec39%2F10.jpeg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,পুরো কেন্দ্রীয় শহীদ মিনার এখন প্রস্তুত শ্রদ্ধা নিবেদনের জন্য
26,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2F14743256-2302-4776-a514-9ebf92cf2c34%2F07.jpg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,ভবনে আটকে পড়া ব্যক্তিদের উদ্ধারের চেষ্টায় ফায়ার সার্ভিসের এক কর্মী
27,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2F37368e3e-a50b-4150-b092-2edf47036f8f%2F9.jpg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,যমুনার চরাঞ্চল রাঙাচ্ছে লাল মরিচ
28,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2F2a1d1f23-55cb-40f0-81fe-6c4da1b4df2a%2F12.jpg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,অযত্ন-অবহেলায় পড়ে আছে পাথর
29,,,https://images.prothomalo.com/prothomalo-bangla%2F2023-02%2Fc97e9830-2345-4c9c-8aa7-8814875ed7fd%2F15.jpg?auto=format%2Ccompress&format=webp&w=640&dpr=1.0,"বসন্তবরণ উপলক্ষে শোভাযাত্রা। চারুকলা অনুষদ, রাজশাহী বিশ্ববিদ্যালয়, রাজশাহী"
